id,segment_id,time_slot,visit_count
32,28,13197715200000000,8
33,1,13197801600000000,1
34,2,13197801600000000,1
35,3,13197801600000000,7
36,4,13197801600000000,2
37,5,13197801600000000,5
38,6,13197801600000000,4
39,7,13197801600000000,7
40,8,13197801600000000,1
41,1,13197974400000000,1
