keyword_id,url_id,lower_term,term
2,58,italian time,italian time
2,115,electron to exe,electron to exe
2,120,non-sql db,non-sql db
2,143,sqlite latest version,sqlite latest version
2,145,sqlite with password,sqlite with password
2,166,googledoc,googledoc
2,178,electron auto start on system startup,electron auto start on system startup
2,185,electron auto start on system startup,electron auto start on system startup
