id,url,title,visit_count,typed_count,last_visit_time,hidden
1413,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=9yaVXPWlLtWLk74P09ywmAg&q=how+to+get+chrome+profile+folder&oq=how+to+get+chrome+profile+folder&gs_l=psy-ab.3..33i22i29i30l10.640061.648295..648439...0.0..0.746.6916.0j5j19j2j6-1......0....1..gws-wiz.......0i71j35i39j0j0i67j0i20i263j0i22i30j0i13i30.txP7yVXrJOY,how to get chrome profile folder - Google Search,1,0,13197810514700338,0
1414,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=gSmVXP_XDaimmwWKgbmYAg&q=how+to+get+chrome+profile+folder+program&oq=how+to+get+chrome+profile+folder+program&gs_l=psy-ab.3..33i160.4373.6054..7207...0.0..0.278.1768.2-8......0....1..gws-wiz.......0i71j33i22i29i30.n0iUIqJFZq8,how to get chrome profile folder program - Google Search,1,0,13197810523032176,0
1415,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=iSmVXMCNLauHk74PvsC3wAg&q=how+to+get+chrome+profile+folder+programmatically&oq=how+to+get+chrome+profile+folder+programatill&gs_l=psy-ab.1.0.33i160.4102.5021..6249...0.0..0.318.1300.2-4j1......0....1..gws-wiz.......0i71j33i21.rslrBt-Z6f0,how to get chrome profile folder programmatically - Google Search,1,0,13197810530349296,0
1416,https://www.google.com/search?q=how+to+get+chrome+profile+folder+programmatically&rlz=1C1GCEB_enRU841RU841&ei=kSmVXKVJyvPpBNKdu4AD&start=10&sa=N&ved=0ahUKEwjl1YPMsJbhAhXKeZoKHdLODjAQ8tMDCMUB&biw=1920&bih=916,how to get chrome profile folder programmatically - Google Search,1,0,13197810553546680,0
1417,https://github.com/kelaberetiv/TagUI/issues/87,Set Chrome download location programmatically / Downloading on Chrome 'Failed - Path too long' · Issue #87 · kelaberetiv/TagUI,1,0,13197810563627820,0
1418,https://www.google.com/search?q=how+to+get+chrome+profile+folder+programmatically&rlz=1C1GCEB_enRU841RU841&ei=qCmVXLVzo8mbBYmIi5AG&start=0&sa=N&ved=0ahUKEwi15__WsJbhAhWj5KYKHQnEAmI4ChDy0wMIew&biw=1920&bih=916,how to get chrome profile folder programmatically - Google Search,1,0,13197810571544896,0
1419,https://www.google.com/search?q=how+to+get+chrome+profile+folder+programmatically&rlz=1C1GCEB_enRU841RU841&ei=kSmVXKVJyvPpBNKdu4AD&start=10&sa=N&ved=0ahUKEwjl1YPMsJbhAhXKeZoKHdLODjAQ8tMDCMUB&cshid=1553279418300060&biw=1920&bih=916,how to get chrome profile folder programmatically - Google Search,1,0,13197810602449990,0
1420,https://www.hanselman.com/blog/HowToChangeTheDefaultBrowserInVisualStudioProgrammaticallyWithPowerShellAndPossiblyPokeYourselfInTheEye.aspx,How to change the default browser in Visual Studio programmatically with PowerShell and possibly poke yourself in the eye - Scott Hanselman,1,0,13197810628416852,0
1421,https://www.google.com/search?q=how+to+get+chrome+profile+folder+programmatically&rlz=1C1GCEB_enRU841RU841&ei=2SmVXIWiCKuEmwXSqICwCw&start=20&sa=N&ved=0ahUKEwjF8rXusJbhAhUrwqYKHVIUALY4ChDy0wMIfg&biw=1920&bih=916,how to get chrome profile folder programmatically - Google Search,1,0,13197810632889794,0
1422,https://www.google.com/search?q=how+to+get+chrome+profile+folder+programmatically&rlz=1C1GCEB_enRU841RU841&ei=9ymVXO7JIqyrmwWFgoeoBQ&start=0&sa=N&ved=0ahUKEwiuoff8sJbhAhWs1aYKHQXBAVU4FBDy0wMIew&biw=1920&bih=916,how to get chrome profile folder programmatically - Google Search,1,0,13197810640235524,0
1423,https://www.google.com/search?q=javascript+browser+information&rlz=1C1GCEB_enRU841RU841&oq=javascript+browser+info&aqs=chrome.0.0j69i57j0l4.6271j0j7&sourceid=chrome&ie=UTF-8,javascript browser information - Google Search,1,0,13197810681950652,0
1424,https://stackoverflow.com/questions/11219582/how-to-detect-my-browser-version-and-operating-system-using-javascript,How to detect my browser version and operating system using JavaScript? - Stack Overflow,1,0,13197810689643254,0
1425,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=KCqVXM_JJ8ysmwW63obIBg&q=javascript+browser+profile+&oq=javascript+browser+profile+&gs_l=psy-ab.3...93093.97301..99042...0.0..0.955.3573.2-3j1j2j0j2......0....1..gws-wiz.......0i71j35i39j0j0i22i30.XPjTYbPtCRY,javascript browser profile - Google Search,1,0,13197810781970408,0
1426,https://stackoverflow.com/questions/7084078/how-to-profile-browser-page-load-using-javascript-library,How to profile browser page load using Javascript (Library)? - Stack Overflow,1,0,13197810790366254,0
1427,https://www.google.com/search?q=javascript+browser+profile&rlz=1C1GCEB_enRU841RU841&ei=jCqVXJ6IKITDmwXZ-6fwBw&start=10&sa=N&ved=0ahUKEwie_oLEsZbhAhWE4aYKHdn9CX4Q8tMDCH4&biw=1920&bih=916,javascript browser profile - Google Search,1,0,13197810809221360,0
1428,https://hea-www.harvard.edu/~fine/CFA/browser_type.html,Determining Browser Type and Version with JavaScript,1,0,13197810819709690,0
1429,https://www.google.com/search?q=javascript+browser+profile&rlz=1C1GCEB_enRU841RU841&ei=pyqVXPe5O4GimwW5yzc&start=20&sa=N&ved=0ahUKEwi3qYbRsZbhAhUB0aYKHbnlDQA4ChDy0wMIbw&biw=1920&bih=916,javascript browser profile - Google Search,1,0,13197810851710452,0
1430,https://www.google.com/search?q=javascript+browser+profile&rlz=1C1GCEB_enRU841RU841&ei=0iqVXI_eDOOKk74P78uFyAg&start=30&sa=N&ved=0ahUKEwiPj5jlsZbhAhVjxcQBHe9lAYk4FBDy0wMIfw&biw=1920&bih=916,javascript browser profile - Google Search,1,0,13197810867326412,0
1431,https://www.google.com/search?q=javascript+browser+profile&rlz=1C1GCEB_enRU841RU841&ei=4iqVXJPHAo6hmwXEtoiwBw&start=20&sa=N&ved=0ahUKEwiTwN7ssZbhAhWO0KYKHUQbAnY4HhDx0wMIcw&biw=1920&bih=916,javascript browser profile - Google Search,1,0,13197810871848360,0
1432,https://www.google.com/search?q=javascript+browser+profile&rlz=1C1GCEB_enRU841RU841&ei=5iqVXNT7I9nlmwX5tJaoAg&start=0&sa=N&ved=0ahUKEwjUhvTusZbhAhXZ8qYKHXmaBSU4FBDy0wMIfA&biw=1920&bih=916,javascript browser profile - Google Search,1,0,13197810875487820,0
1433,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=7xiVXJuGL4OsrgSeyKHIAg&q=electron+chrome+Profile+Path&oq=electron+chrome+Profile+Path&gs_l=psy-ab.3..33i160.4633679.4637911..4638214...0.0..0.443.994.2-2j0j1......0....2j1..gws-wiz.......0i71.JskiHyVstw4,electron chrome Profile Path - Google Search,2,0,13197836831637416,0
1434,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Frlz%3D1C1GCEB_enRU841RU841%26ei%3D7xiVXJuGL4OsrgSeyKHIAg%26q%3Delectron%2Bchrome%2BProfile%2BPath%26oq%3Delectron%2Bchrome%2BProfile%2BPath%26gs_l%3Dpsy-ab.3..33i160.4633679.4637911..4638214...0.0..0.443.994.2-2j0j1......0....2j1..gws-wiz.......0i71.JskiHyVstw4&q=EgS8K4ggGI_W1OQFIhkA8aeDSxTCfz_b8jmk38p7yzF2dNt6DchFMgFy,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=7xiVXJuGL4OsrgSeyKHIAg&q=electron+chrome+Profile+Path&oq=electron+chrome+Profile+Path&gs_l=psy-ab.3..33i160.4633679.4637911..4638214...0.0..0.443.994.2-2j0j1......0....2j1..gws-wiz.......0i71.JskiHyVstw4,1,0,13197810913083452,1
1435,https://www.google.com/sorry/index,electron chrome Profile Path - Google Search,1,0,13197810941222706,0
1436,"https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=7xiVXJuGL4OsrgSeyKHIAg&q=electron+chrome+Profile+Path&oq=electron+chrome+Profile+Path&gs_l=psy-ab.3..33i160.4633679.4637911..4638214...0.0..0.443.994.2-2j0j1......0....2j1..gws-wiz.......0i71.JskiHyVstw4&google_abuse=GOOGLE_ABUSE_EXEMPTION%3DID%3D4759aac9bb624885:TM%3D1553279759:C%3Dr:IP%3D188.43.136.32-:S%3DAPGng0t5ZGzP59rix3bsP3mQNyT1CR6YqQ%3B+path%3D/%3B+domain%3Dgoogle.com%3B+expires%3DFri,+22-Mar-2019+21:35:59+GMT",electron chrome Profile Path - Google Search,1,0,13197810941222706,0
1437,https://github.com/electron/electron/issues/1404,Cache directory on windows should be %localappdata% by default · Issue #1404 · electron/electron,1,0,13197836824691516,0
1438,https://github.com/electron/electron/issues/647,set the user data directory · Issue #647 · electron/electron,1,0,13197836926632084,0
1439,https://github.com/electron/electron/issues/1498,can you use chrome extension with electron? · Issue #1498 · electron/electron,1,0,13197810956587700,0
1440,https://stackoverflow.com/questions/48587035/electron-how-to-set-a-custom-directory-for-user-data-user-data-dir,chromium - Electron: How to set a custom directory for user data (--user-data-dir) - Stack Overflow,1,0,13197835602248264,0
1441,https://medium.com/cameron-nokes/how-to-store-user-data-in-electron-3ba6bf66bc1e,How to store user data in Electron – Cameron Nokes – Medium,3,0,13197810977226620,0
1443,https://login.live.com/ppsecure/post.srf?wa=wsignin1.0&rpsnv=13&ct=1553197419&rver=7.0.6738.0&wp=MBI_SSL&wreply=https:%2F%2Faccount.microsoft.com%2Fauth%2Fcomplete-signin%3Fru%3Dhttps%253A%252F%252Faccount.microsoft.com%252F%253Fref%253Dsettings%2526Platform%253DWindows10%2526ru%253Dhttps%25253A%25252F%25252Faccount.microsoft.com%25252F%25253Fref%25253Dsettings%252526Platform%25253DWindows10&lc=1033&id=292666&lw=1&fl=easi2&contextid=DFF5211B4646636D&bk=1553304422&uaid=fb9b324d7e964cd98d539f63d8fe95a1&pid=0,Continue,1,0,13197835583287504,0
1444,https://www.google.com/search?q=electron+Profile+Path&rlz=1C1GCEB_enRU841RU841&oq=electron+Profile+Path&aqs=chrome..69i57j69i61.4711j0j7&sourceid=chrome&ie=UTF-8,electron Profile Path - Google Search,1,0,13197835620551464,0
1445,https://medium.com/@ganeshrvel/get-the-root-path-of-an-electron-application-c31d92e9558b,Get the root path of an Electron Application. – Ganesh Rathinavel – Medium,3,0,13197835634176634,0
1446,https://www.google.com/search?rlz=1C1GCEB_enRU841RU841&ei=k4uVXMz7EMuBk74Pmru8wAM&q=electron+get+chrome+Profile+Path&oq=electron+get+chrome+Profile+Path&gs_l=psy-ab.3...25430.30751..30908...5.0..2.697.3932.0j7j5j1j1j1......0....1..gws-wiz.......0i71j35i39j35i304i39.RFy8mq__aNo,electron get chrome Profile Path - Google Search,1,0,13197835654427644,0
1447,https://medium.com/how-to-electron/how-to-reset-application-data-in-electron-48bba70b5a49,How to Reset Application Data in Electron – How to electron – Medium,3,0,13197835678178980,0
1450,https://www.outlook.com/?ocid=PROD_AMC_CONS_MEE_ACQ_COMMERCE_SubsList&ref=AMC,Mail - baby star - Outlook,1,0,13197835884788326,0
1451,https://outlook.live.com/?ocid=PROD_AMC_CONS_MEE_ACQ_COMMERCE_SubsList&ref=AMC,Mail - baby star - Outlook,1,0,13197835884788326,0
1452,https://outlook.live.com/owa/?ocid=PROD_AMC_CONS_MEE_ACQ_COMMERCE_SubsList&ref=AMC,Mail - baby star - Outlook,2,0,13197835884788326,0
