id,guid,current_path,target_path,start_time,received_bytes,total_bytes,state,danger_type,interrupt_reason,hash,end_time,opened,last_access_time,transient,referrer,site_url,tab_url,tab_referrer_url,http_method,by_ext_id,by_ext_name,etag,last_modified,mime_type,original_mime_type
1,7ed5e89c-3a3e-44fb-9268-56599871d6e4,C:\Users\USER\Downloads\Immagine.png,C:\Users\USER\Downloads\Immagine.png,13198058276712208,69283,69283,1,0,0,,13198058282676048,1,13198058282676112,0,https://www.freelancer.com/dashboard,https://freelancer.com/,https://www.freelancer.com/dashboard,https://www.freelancer.com/dashboard/,,,,"""139b2cdf615109bbdb3bacc0209be85f""","Mon, 25 Mar 2019 16:18:07 GMT",image/png,image/png
2,597e38c8-bd22-42f4-9a39-f90534cd9611,C:\Users\USER\Downloads\Immagine (1).png,C:\Users\USER\Downloads\Immagine (1).png,13198059084877780,23038,23038,1,0,0,,13198059085005584,1,13198059086232122,0,https://www.freelancer.com/dashboard,https://freelancer.com/,https://www.freelancer.com/dashboard,https://www.freelancer.com/dashboard/,,,,"""3222af01dcfe043472432d29d0b01a94""","Mon, 25 Mar 2019 16:32:11 GMT",image/png,image/png
3,8caa1d69-7f48-4bac-8549-fdf748f65578,C:\Users\USER\Downloads\evilsaint-wiki-framework-master.zip,C:\Users\USER\Downloads\evilsaint-wiki-framework-master.zip,13198064000170042,5339864,5339864,1,4,0,,13198064081018070,0,0,0,,https://gitlab.com/,https://gitlab.com/evilsaint/evilsaint-wiki-framework/,https://www.freelancer.com/projects/twitter-bootstrap/Flask-Mongodb-Bootstrap-jQuery/?w=f,,,,,,application/zip,application/zip
